"#","Latin Input","Devanagari Target","Devanagari Predicted","Correct"
"24","ambaani","अंबानी","अंबनी","❌"
"25","ambani","अंबानी","अंबानी","✅"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","अकालपूलों","❌"
"28","akapulko","अकापुल्को","अकलपुक","❌"
"29","akhand","अखंड","अखंड","✅"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","ऑग्सीननस","❌"
"34","augustustine","अगस्टाइन","ऑगस्टिसस","❌"
"35","agsta","अगस्ता","अज्सता","❌"
"36","agusta","अगस्ता","अगूसता","❌"
"37","augusta","अगस्ता","आगौसता","❌"
"38","agr","अग्र","एजीआर","❌"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचंबा","❌"
"42","achievement","अचीवमेंट","अचिवेंट","❌"
"43","achivement","अचीवमेंट","अचिविमेंट","❌"
"44","acchi","अच्छी","अच्छी","✅"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अच्यूत","❌"
"48","achhanera","अछनेरा","अच्छनार","❌"
"49","achnera","अछनेरा","अच्नेरा","❌"
"50","ajmeedh","अजमीढ़","अजमीद","❌"
"51","ajhar","अजहर","अजहर","✅"
"52","azhar","अजहर","अजहर","✅"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अज्ञात","✅"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अटकता","✅"
"58","atkata","अटकता","अटकता","✅"
"59","atake","अटके","अटके","✅"
"60","atke","अटके","अटके","✅"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अटवल","❌"
"63","attahasa","अट्टहास","अत्साहा","❌"
"64","atthaas","अट्टहास","अत्साह","❌"
"65","atthas","अट्टहास","अत्साह","❌"
"66","addon","अड्डों","अद्दों","❌"
"67","athak","अथक","अठक","❌"
"68","atharv","अथर्व","अथर्ववी","❌"
"69","atharva","अथर्व","अथरवा","❌"
"70","adad","अदद","अदद","✅"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदनी","❌"
"73","advait","अद्वैत","अद्वेत","❌"
"74","adwait","अद्वैत","अदवित","❌"
"75","advaitvaad","अद्वैतवाद","अद्वात्ववाद","❌"
"76","advaitwad","अद्वैतवाद","अद्वेतवाद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधीवास","❌"
"79","advivas","अधिवास","एडवियास","❌"
"80","adhiik","अधीक","अधीक","✅"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","आंकाा","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगाकर","❌"
"10","angarak","अंगारक","अंगाक","❌"
"11","angraji","अंग्रज़ी","अंग्रजी","❌"
"12","angreji","अंग्रज़ी","अंग्रजीजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अनताह","❌"
"15","antaha","अंतः","अंतहा","❌"
"16","antarmukh","अंतर्मुख","अंतमुखू","❌"
"17","antmurkh","अंतर्मुख","अनुमुर्थ","❌"
"18","antrmukh","अंतर्मुख","अंतरूमक","❌"
"19","andrabee","अंद्राबी","अंदरबी","❌"
"20","andrabi","अंद्राबी","अंदरबि","❌"
"21","andha","अंधा","अंधाा","❌"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधेरी","✅"
"24","ambaani","अंबानी","अमबानी","❌"
"25","ambani","अंबानी","अंबानी","✅"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","अपकोल","❌"
"28","akapulko","अकापुल्को","अकापुलक","❌"
"29","akhand","अखंड","अखंड","✅"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अग्वाई","❌"
"33","augustine","अगस्टाइन","ऑगस्टिन","❌"
"34","augustustine","अगस्टाइन","ऑस्टाग्सून","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","अगुस्ताा","❌"
"37","augusta","अगस्ता","औगसता","❌"
"38","agr","अग्र","एगर","❌"
"39","agra","अग्र","आग्राा","❌"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अचिवेंपम","❌"
"43","achivement","अचीवमेंट","अचिवेंट","❌"
"44","acchi","अच्छी","अच्छी","✅"
"45","achchi","अच्छी","अच्छीी","❌"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अछूत","❌"
"48","achhanera","अछनेरा","अच्छानेराा","❌"
"49","achnera","अछनेरा","अच्नेरा","❌"
"50","ajmeedh","अजमीढ़","अजमीद","❌"
"51","ajhar","अजहर","आजहर","❌"
"52","azhar","अजहर","आजहर","❌"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अज्ञानत","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अकत्त","❌"
"58","atkata","अटकता","अकतता","❌"
"59","atake","अटके","अटके","✅"
"60","atke","अटके","एटके","❌"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अतवाल","❌"
"63","attahasa","अट्टहास","अत्ताशा","❌"
"64","atthaas","अट्टहास","अटाहस","❌"
"65","atthas","अट्टहास","अट्ठास","❌"
"66","addon","अड्डों","एडडोन","❌"
"67","athak","अथक","अक्ठ","❌"
"68","atharv","अथर्व","अठवर्","❌"
"69","atharva","अथर्व","अठवारा","❌"
"70","adad","अदद","आदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदनीी","❌"
"73","advait","अद्वैत","अद्वैत","✅"
"74","adwait","अद्वैत","अद्वैत","✅"
"75","advaitvaad","अद्वैतवाद","अद्वादवता","❌"
"76","advaitwad","अद्वैतवाद","अद्वादवता","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","ऐदविसा","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","आनकों","❌"
"5","ankhon","अंकों","आंखों","❌"
"6","ankon","अंकों","आंकों","❌"
"7","angkor","अंकोर","एंगकर","❌"
"8","ankor","अंकोर","एंकड़ो","❌"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंग्रजी","❌"
"12","angreji","अंग्रज़ी","अंग्रजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंताह","❌"
"15","antaha","अंतः","अंता","❌"
"16","antarmukh","अंतर्मुख","अंतरबुख","❌"
"17","antmurkh","अंतर्मुख","अंतरुख","❌"
"18","antrmukh","अंतर्मुख","अंतर्खमख","❌"
"19","andrabee","अंद्राबी","अंदराई","❌"
"20","andrabi","अंद्राबी","अंदरराी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधेरी","✅"
"24","ambaani","अंबानी","अम्बानी","❌"
"25","ambani","अंबानी","अंबानी","✅"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","आकैकल्पो","❌"
"28","akapulko","अकापुल्को","आपकोल्को","❌"
"29","akhand","अखंड","अखंड","✅"
"30","akhil","अखिल","अखील","❌"
"31","agavai","अगवाई","आगवाई","❌"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","अगस्टिन","❌"
"34","augustustine","अगस्टाइन","अगसूस्ताइन","❌"
"35","agsta","अगस्ता","अगसता","❌"
"36","agusta","अगस्ता","अगसूता","❌"
"37","augusta","अगस्ता","उगसता","❌"
"38","agr","अग्र","एगर","❌"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","अच्भा","❌"
"41","achanbha","अचंभा","अच्नभा","❌"
"42","achievement","अचीवमेंट","अचिवेमंट","❌"
"43","achivement","अचीवमेंट","अचिवेमंत","❌"
"44","acchi","अच्छी","अच्छी","✅"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अछूत","❌"
"48","achhanera","अछनेरा","अच्छानेरा","❌"
"49","achnera","अछनेरा","अचनेरा","❌"
"50","ajmeedh","अजमीढ़","अजमीद","❌"
"51","ajhar","अजहर","अजार","❌"
"52","azhar","अजहर","आठार","❌"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अग्नात","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","अटकता","✅"
"59","atake","अटके","अटके","✅"
"60","atke","अटके","एटक","❌"
"61","atwaal","अटवाल","अटवाल","✅"
"62","atwal","अटवाल","अटवल","❌"
"63","attahasa","अट्टहास","अत्ताहासा","❌"
"64","atthaas","अट्टहास","अट्शास","❌"
"65","atthas","अट्टहास","अट्शास","❌"
"66","addon","अड्डों","एडंड","❌"
"67","athak","अथक","अथक","✅"
"68","atharv","अथर्व","अथर्व","✅"
"69","atharva","अथर्व","अठर्व","❌"
"70","adad","अदद","आदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","एडवित","❌"
"74","adwait","अद्वैत","एडवित","❌"
"75","advaitvaad","अद्वैतवाद","एद्वित्वाद","❌"
"76","advaitwad","अद्वैतवाद","एडवित्वाद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","एडविवास","❌"
"80","adhiik","अधीक","आधिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","आंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनाकों","❌"
"5","ankhon","अंकों","आँखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगराक","❌"
"10","angarak","अंगारक","अंगराक","❌"
"11","angraji","अंग्रज़ी","अंग्रजी","❌"
"12","angreji","अंग्रज़ी","अंग्रजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंताा","❌"
"16","antarmukh","अंतर्मुख","अंतरमूख","❌"
"17","antmurkh","अंतर्मुख","अंतूरकूम","❌"
"18","antrmukh","अंतर्मुख","अंतरुमक","❌"
"19","andrabee","अंद्राबी","अंद्रबी","❌"
"20","andrabi","अंद्राबी","अंद्रबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधारी","❌"
"24","ambaani","अंबानी","अंबानी","✅"
"25","ambani","अंबानी","अंबनी","❌"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","एकालुको","❌"
"28","akapulko","अकापुल्को","आकापुलोक","❌"
"29","akhand","अखंड","अखंड","✅"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","असस्टीनी","❌"
"34","augustustine","अगस्टाइन","अगस्टीशनी","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","असुस्ता","❌"
"37","augusta","अगस्ता","अगस्त","❌"
"38","agr","अग्र","एगर","❌"
"39","agra","अग्र","आगरा","❌"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अचिवमेंट","❌"
"43","achivement","अचीवमेंट","अशिलेवेंटट","❌"
"44","acchi","अच्छी","अच्छी","✅"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अछूत","❌"
"48","achhanera","अछनेरा","अचंचारेा","❌"
"49","achnera","अछनेरा","अचेनाा","❌"
"50","ajmeedh","अजमीढ़","आजमीदध","❌"
"51","ajhar","अजहर","अजार","❌"
"52","azhar","अजहर","आजार","❌"
"53","ajit","अजित","अजीतत","❌"
"54","agnat","अज्ञात","अज्ञात","✅"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अत्कता","❌"
"58","atkata","अटकता","अत्कता","❌"
"59","atake","अटके","आतके","❌"
"60","atke","अटके","आटके","❌"
"61","atwaal","अटवाल","अत्वाल","❌"
"62","atwal","अटवाल","अतवाल","❌"
"63","attahasa","अट्टहास","अत्छाशा","❌"
"64","atthaas","अट्टहास","अट्ठस","❌"
"65","atthas","अट्टहास","अट्ठस","❌"
"66","addon","अड्डों","ऐड्डों","❌"
"67","athak","अथक","अथक","✅"
"68","atharv","अथर्व","अथर्व","✅"
"69","atharva","अथर्व","अथर्व","✅"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","एडविट","❌"
"74","adwait","अद्वैत","एडवाइट","❌"
"75","advaitvaad","अद्वैतवाद","अद्वादिताव","❌"
"76","advaitwad","अद्वैतवाद","एडवाइटिवाड","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अद्वियास","❌"
"80","adhiik","अधीक","अधीक","✅"
"1","ank","अंक","आंके","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकटित","❌"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","आंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगोकर","❌"
"8","ankor","अंकोर","अंकर","❌"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंग्रजी","❌"
"12","angreji","अंग्रज़ी","अंग्रीज","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंतः","✅"
"15","antaha","अंतः","अंताा","❌"
"16","antarmukh","अंतर्मुख","अंतरुभक्त","❌"
"17","antmurkh","अंतर्मुख","अंतुमर्क","❌"
"18","antrmukh","अंतर्मुख","अंतर्ूमख","❌"
"19","andrabee","अंद्राबी","अंद्रेबी","❌"
"20","andrabi","अंद्राबी","अंद्राबी","✅"
"21","andha","अंधा","अंधाा","❌"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंदेरी","❌"
"24","ambaani","अंबानी","अंबबीी","❌"
"25","ambani","अंबानी","अंबबीी","❌"
"26","akram","अकरम","आक्रम","❌"
"27","acapulco","अकापुल्को","असाकोलोस","❌"
"28","akapulko","अकापुल्को","आकापुकोक","❌"
"29","akhand","अखंड","अखंड","✅"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","अजुस्टेन","❌"
"34","augustustine","अगस्टाइन","अगस्टोट्या","❌"
"35","agsta","अगस्ता","अस्ता","❌"
"36","agusta","अगस्ता","अगुतस्","❌"
"37","augusta","अगस्ता","अगुस्टा","❌"
"38","agr","अग्र","एग्ब","❌"
"39","agra","अग्र","आगररा","❌"
"40","achambha","अचंभा","अंचभा","❌"
"41","achanbha","अचंभा","अचाभा","❌"
"42","achievement","अचीवमेंट","आविस्वेमेंट","❌"
"43","achivement","अचीवमेंट","अचिवेंटमं","❌"
"44","acchi","अच्छी","अछी","❌"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अछूत","❌"
"48","achhanera","अछनेरा","अछनेरा","✅"
"49","achnera","अछनेरा","अछनेरा","✅"
"50","ajmeedh","अजमीढ़","अजमीदध","❌"
"51","ajhar","अजहर","आजर","❌"
"52","azhar","अजहर","अजार","❌"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अग्ञात","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अटकता","✅"
"58","atkata","अटकता","अटकता","✅"
"59","atake","अटके","अकते","❌"
"60","atke","अटके","अटके","✅"
"61","atwaal","अटवाल","आतावल","❌"
"62","atwal","अटवाल","अतवाल","❌"
"63","attahasa","अट्टहास","अत्ताशा","❌"
"64","atthaas","अट्टहास","अट्टा","❌"
"65","atthas","अट्टहास","अट्टास","❌"
"66","addon","अड्डों","एडों","❌"
"67","athak","अथक","अथक","✅"
"68","atharv","अथर्व","अथार्व","❌"
"69","atharva","अथर्व","अथर्व","✅"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","आड्यति","❌"
"74","adwait","अद्वैत","एडवैट","❌"
"75","advaitvaad","अद्वैतवाद","आड्यतिवाद","❌"
"76","advaitwad","अद्वैतवाद","आड्वविता","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","एडविवास","❌"
"80","adhiik","अधीक","आधिक","❌"
"1","ank","अंक","आंक","❌"
"2","anka","अंक","आंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंकोमर","❌"
"8","ankor","अंकोर","एंकर","❌"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगाक","❌"
"11","angraji","अंग्रज़ी","अंगरजीी","❌"
"12","angreji","अंग्रज़ी","अग्रेंजी","❌"
"13","angrzi","अंग्रज़ी","अग्रंजी","❌"
"14","antah","अंतः","अंतः","✅"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंतरमुख","❌"
"17","antmurkh","अंतर्मुख","अंतरूरमख","❌"
"18","antrmukh","अंतर्मुख","अंतरमुख","❌"
"19","andrabee","अंद्राबी","अंद्राबी","✅"
